flux	CO2	CO2_out	Ery4P	Fru6P	FruBP	GA3P	GLC	Glc6P	PEP	PGA	PYR	Rib5P	Rul5P	Sed7P	Sed7P.GA3P	Xul5P	Xul5P.Ery4P	Xul5P.Rib5P
coOut	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emp1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
emp2	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
emp3	0	0	0	0	-1	2	0	0	0	0	0	0	0	0	0	0	0	0
emp4	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0
emp5	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0
emp6	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0
ppp1	1	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0
ppp2	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0
ppp3	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0
ppp4.f	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0
ppp4.s	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0
ppp5.f	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	1
ppp5.s	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-1
ppp6.f	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0
ppp6.s	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
upt	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0
